student_id,teacher_note,label
1,"الطالب يظهر تحسناً ملحوظاً في مهارات القراءة",
2,"الطالبة تحتاج إلى مراجعة إضافية في مادة الرياضيات",
3,"الطالب يشارك بنشاط في المناقشات الصفية",
4,"الطالبة تواجه صعوبة في التركيز أثناء الحصص",
5,"الطالب يُظهر إبداعاً في حل المسائل الرياضية",
6,"الطالبة تحتاج دعماً في تطوير مهارات الكتابة",
7,"الطالب يتفاعل بإيجابية مع الأنشطة الجماعية",
8,"الطالبة تبدو خجولة ولا تشارك كثيراً في الصف",
9,"الطالب يُظهر استعداداً جيداً للامتحانات",
10,"الطالبة تحتاج تشجيعاً أكثر للمشاركة في الأنشطة",
11,"الطالب يعاني من تأخر في تسليم الواجبات",
12,"الطالبة تُظهر قدرة عالية على الفهم والاستيعاب",
13,"الطالب يحتاج إلى تحسين مهارات التنظيم",
14,"الطالبة تتميز بالدقة في أداء المهام",
15,"الطالب يواجه صعوبة في مادة العلوم",
16,"الطالبة تُظهر اهتماماً كبيراً بالأدب والشعر",
17,"الطالب يحتاج إلى تطوير مهارات العرض والتقديم",
18,"الطالبة تتفوق في الأنشطة الفنية والإبداعية",
19,"الطالب يُظهر تحسناً في السلوك الصفي",
20,"الطالبة تحتاج إلى مراجعة قواعد الإملاء",
21,"الطالب يتمتع بذاكرة قوية ويحفظ بسرعة",
22,"الطالبة تواجه تحدياً في فهم المفاهيم المجردة",
23,"الطالب يُظهر قيادة طبيعية بين زملائه",
24,"الطالبة تحتاج إلى تقوية الثقة بالنفس",
25,"الطالب يتميز بالانضباط والالتزام",
26,"الطالبة تحتاج دعماً في حل المسائل الكلامية",
27,"الطالب يُظهر موهبة في الرسم والتصميم",
28,"الطالبة تواجه صعوبة في إدارة الوقت",
29,"الطالب يحتاج إلى تحسين خطه في الكتابة",
30,"الطالبة تُظهر حماساً للتعلم والاستطلاع",
31,"الطالب يعمل بشكل أفضل في المجموعات الصغيرة",
32,"الطالبة تحتاج إلى تطوير مهارات الاستماع",
33,"الطالب يُظهر تقدماً مستمراً في الأداء",
34,"الطالبة تواجه قلقاً من الامتحانات",
35,"الطالب يتميز بالمثابرة وعدم الاستسلام",
36,"الطالبة تحتاج إلى تنويع طرق المذاكرة",
37,"الطالب يُظهر فهماً عميقاً للمواد الاجتماعية",
38,"الطالبة تحتاج تشجيعاً في مادة الرياضيات",
39,"الطالب يتفاعل بإيجابية مع التكنولوجيا التعليمية",
40,"الطالبة تُظهر مهارات تحليلية متقدمة",
41,"الطالب يحتاج إلى تحسين مهارات التعبير الشفهي",
42,"الطالبة تتميز بالأمانة والصدق في التعامل",
43,"الطالب يواجه تحدياً في فهم النصوص الطويلة",
44,"الطالبة تُظهر إبداعاً في كتابة القصص",
45,"الطالب يحتاج إلى تنظيم أفكاره قبل الكتابة",
46,"الطالبة تتفوق في الأنشطة العملية والتجارب",
47,"الطالب يُظهر احتراماً للمعلمين والزملاء",
48,"الطالبة تحتاج إلى تطوير مهارات البحث",
49,"الطالب يتميز بسرعة الفهم والاستيعاب",
50,"الطالبة تواجه صعوبة في التعبير عن أفكارها",
51,"الطالب يُظهر اهتماماً بالقضايا البيئية",
52,"الطالبة تحتاج إلى تقوية مهارات الحفظ",
53,"الطالب يعمل بجد لتحسين درجاته",
54,"الطالبة تُظهر مسؤولية في أداء المهام",
55,"الطالب يحتاج إلى تطوير مهارات حل المشكلات",
56,"الطالبة تتميز بالنظام والترتيب",
57,"الطالب يُظهر موهبة في الخطابة والإلقاء",
58,"الطالبة تحتاج دعماً في تطوير الخيال والإبداع",
59,"الطالب يتفاعل بشكل إيجابي مع النقد البناء",
60,"الطالبة تُظهر قدرة على العمل المستقل",
61,"الطالب يحتاج إلى تحسين مهارات الملاحظة",
62,"الطالبة تتميز بالصبر والمثابرة في التعلم",
63,"الطالب يُظهر فهماً جيداً للمفاهيم الأساسية",
64,"الطالبة تواجه تحدياً في التطبيق العملي",
65,"الطالب يتميز بالتفكير النقدي والتحليلي",
66,"الطالبة تحتاج إلى تطوير الثقة في قدراتها",
67,"الطالب يُظهر اهتماماً بالأنشطة الرياضية",
68,"الطالبة تتفوق في مهارات التلخيص والعرض",
69,"الطالب يحتاج إلى تحسين التركيز أثناء الدرس",
70,"الطالبة تُظهر حساً فنياً متطوراً",
71,"الطالب يتعاون بشكل ممتاز مع زملائه",
72,"الطالبة تحتاج إلى تطوير مهارات التفكير الإبداعي",
73,"الطالب يُظهر قدرة على الربط بين المفاهيم",
74,"الطالبة تواجه صعوبة في التعامل مع الضغط",
75,"الطالب يتميز بالاجتهاد والرغبة في التعلم",
76,"الطالبة تحتاج إلى تنويع استراتيجيات التعلم",
77,"الطالب يُظهر مرونة في التكيف مع التغييرات",
78,"الطالبة تتميز بالدقة في التفاصيل",
79,"الطالب يحتاج إلى تحسين مهارات التقييم الذاتي",
80,"الطالبة تُظهر قدرة على التعلم السريع",
81,"الطالب يتفاعل بإيجابية مع الأنشطة التفاعلية",
82,"الطالبة تحتاج دعماً في بناء علاقات اجتماعية",
83,"الطالب يُظهر اهتماماً بالتاريخ والحضارات",
84,"الطالبة تتميز بالمبادرة والاستباقية",
85,"الطالب يحتاج إلى تطوير مهارات إدارة المشاريع",
86,"الطالبة تُظهر قدرة على التفكير خارج الصندوق",
87,"الطالب يتميز بالهدوء والتأني في اتخاذ القرارات",
88,"الطالبة تحتاج إلى تحسين مهارات العرض الرقمي",
89,"الطالب يُظهر حماساً للأنشطة العلمية والتجارب",
90,"الطالبة تتفوق في فهم السياق والمعنى الضمني",
91,"الطالب يحتاج إلى تطوير مهارات التواصل الكتابي",
92,"الطالبة تُظهر قدرة على التحليل المنطقي",
93,"الطالب يتميز بالجدية والالتزام بالمواعيد",
94,"الطالبة تحتاج دعماً في التغلب على الخوف من الأخطاء",
95,"الطالب يُظهر اهتماماً بالقضايا الاجتماعية",
96,"الطالبة تتميز بالحيوية والنشاط في الصف",
97,"الطالب يحتاج إلى تحسين مهارات التنظيم الشخصي",
98,"الطالبة تُظهر فهماً عميقاً للأبعاد الثقافية",
99,"الطالب يتفاعل بشكل إيجابي مع التحديات الجديدة",
100,"الطالبة تحتاج إلى تطوير استراتيجيات مراجعة فعالة",
101,"الطالب يُظهر تميزاً في حل المعادلات الرياضية المعقدة",
102,"الطالبة تحتاج إلى تقوية مهارات النطق في اللغة الإنجليزية",
103,"الطالب يتفاعل بحماس مع الأنشطة العلمية التطبيقية",
104,"الطالبة تواجه صعوبة في فهم القواعد النحوية",
105,"الطالب يُظهر مهارات قيادية متميزة في العمل الجماعي",
106,"الطالبة تحتاج دعماً في تطوير مهارات حل المسائل",
107,"الطالب يتميز بالصبر والمثابرة في إنجاز المهام الصعبة",
108,"الطالبة تُظهر إبداعاً في استخدام الوسائل التعليمية",
109,"الطالب يحتاج إلى تحسين مهارات الاستنتاج والتحليل",
110,"الطالبة تتفوق في الأنشطة الموسيقية والإيقاعية",
111,"الطالب يُظهر اهتماماً بالجغرافيا والخرائط",
112,"الطالبة تحتاج إلى تطوير مهارات التلخيص والاختصار",
113,"الطالب يتميز بالدقة في أداء التجارب العلمية",
114,"الطالبة تواجه تحدياً في التعبير الكتابي الإبداعي",
115,"الطالب يُظهر قدرة على الربط بين النظرية والتطبيق",
116,"الطالبة تحتاج تشجيعاً لزيادة المشاركة الصفية",
117,"الطالب يتفاعل بإيجابية مع استراتيجيات التعلم الحديثة",
118,"الطالبة تُظهر مهارات متقدمة في استخدام الحاسوب",
119,"الطالب يحتاج إلى تطوير مهارات التفكير الناقد",
120,"الطالبة تتميز بالاستعداد الممتاز للدروس",
121,"الطالب يُظهر موهبة في الشعر والكتابة الأدبية",
122,"الطالبة تحتاج دعماً في تطوير الذاكرة البصرية",
123,"الطالب يتميز بالمرونة في تقبل وجهات النظر المختلفة",
124,"الطالبة تواجه صعوبة في التعامل مع المسائل المعقدة",
125,"الطالب يُظهر حرصاً شديداً على النظافة والترتيب",
126,"الطالبة تحتاج إلى تحسين مهارات التقديم أمام الجمهور",
127,"الطالب يتفاعل بشكل ممتاز مع الأنشطة التطوعية",
128,"الطالبة تُظهر فهماً عميقاً للمفاهيم الفلسفية",
129,"الطالب يحتاج إلى تطوير مهارات إدارة الانفعالات",
130,"الطالبة تتميز بالسرعة في إنجاز المهام المطلوبة",
131,"الطالب يُظهر اهتماماً بالأنشطة البيئية والطبيعة",
132,"الطالبة تحتاج دعماً في تطوير مهارات التفاوض",
133,"الطالب يتميز بالأمانة العلمية في البحث والكتابة",
134,"الطالبة تواجه تحدياً في التركيز لفترات طويلة",
135,"الطالب يُظهر قدرة على التعلم من الأخطاء وتصحيحها",
136,"الطالبة تحتاج إلى تطوير مهارات التخطيط طويل المدى",
137,"الطالب يتفاعل بحماس مع المشاريع الجماعية الكبيرة",
138,"الطالبة تُظهر مهارات متميزة في التصوير والفنون البصرية",
139,"الطالب يحتاج إلى تحسين مهارات البحث الإلكتروني",
140,"الطالبة تتميز بالحساسية العالية للغة والأسلوب",
141,"الطالب يُظهر اهتماماً بالرياضة والأنشطة البدنية",
142,"الطالبة تحتاج دعماً في التغلب على القلق الاجتماعي",
143,"الطالب يتميز بالقدرة على حل النزاعات بحكمة",
144,"الطالبة تواجه صعوبة في تنظيم الوقت بين المواد",
145,"الطالب يُظهر تفوقاً في الأنشطة التقنية والبرمجة",
146,"الطالبة تحتاج إلى تطوير مهارات التعبير الفني",
147,"الطالب يتفاعل بإيجابية مع النشاطات الثقافية",
148,"الطالبة تُظهر قدرة على التكيف مع طرق التدريس المختلفة",
149,"الطالب يحتاج إلى تحسين مهارات التركيز البصري",
150,"الطالبة تتميز بالاستقلالية في التعلم والبحث",
151,"الطالب يُظهر اهتماماً بالقضايا السياسية والاجتماعية",
152,"الطالبة تحتاج دعماً في تطوير الثقة أثناء الاختبارات",
153,"الطالب يتميز بالقدرة على التفكير التحليلي المنهجي",
154,"الطالبة تواجه تحدياً في استخدام المصطلحات العلمية",
155,"الطالب يُظهر موهبة في التمثيل والأداء المسرحي",
156,"الطالبة تحتاج إلى تطوير مهارات القراءة السريعة",
157,"الطالب يتفاعل بشكل ممتاز مع التكنولوجيا التفاعلية",
158,"الطالبة تُظهر حساً عالياً بالمسؤولية الاجتماعية",
159,"الطالب يحتاج إلى تحسين مهارات التواصل غير اللفظي",
160,"الطالبة تتميز بالقدرة على ربط المعلومات من مصادر مختلفة",
161,"الطالب يُظهر اهتماماً بالتجارب العلمية المبتكرة",
162,"الطالبة تحتاج دعماً في تطوير مهارات التفكير الاستراتيجي",
163,"الطالب يتميز بالهدوء والتروي في المواقف الصعبة",
164,"الطالبة تواجه صعوبة في التعبير عن المشاعر بالكلمات",
165,"الطالب يُظهر قدرة على التعلم التعاوني والتشاركي",
166,"الطالبة تحتاج إلى تطوير مهارات التحليل الإحصائي",
167,"الطالب يتفاعل بحماس مع الأنشطة الاستكشافية",
168,"الطالبة تُظهر تميزاً في فهم النصوص الأدبية القديمة",
169,"الطالب يحتاج إلى تحسين مهارات إدارة الضغوط",
170,"الطالبة تتميز بالقدرة على التفكير الجانبي الإبداعي",
171,"الطالب يُظهر اهتماماً بالفنون التشكيلية والنحت",
172,"الطالبة تحتاج دعماً في تطوير مهارات المناقشة والجدل",
173,"الطالب يتميز بالصدق والشفافية في التقييم الذاتي",
174,"الطالبة تواجه تحدياً في التطبيق العملي للنظريات",
175,"الطالب يُظهر قدرة على التحليل النقدي للنصوص",
176,"الطالبة تحتاج إلى تطوير مهارات التعلم التفاعلي",
177,"الطالب يتفاعل بإيجابية مع التحديات الأكاديمية الجديدة",
178,"الطالبة تُظهر مهارات قوية في التفكير التصميمي",
179,"الطالب يحتاج إلى تحسين مهارات التعبير العاطفي",
180,"الطالبة تتميز بالقدرة على التعلم من التجارب السابقة",
181,"الطالب يُظهر اهتماماً بالابتكار والاختراع",
182,"الطالبة تحتاج دعماً في تطوير مهارات التفكير المنطقي",
183,"الطالب يتميز بالقدرة على التواصل مع مختلف الشخصيات",
184,"الطالبة تواجه صعوبة في التكيف مع النقد البناء",
185,"الطالب يُظهر تفوقاً في الأنشطة الرياضية الذهنية",
186,"الطالبة تحتاج إلى تطوير مهارات التحليل البياني",
187,"الطالب يتفاعل بشكل ممتاز مع التعلم القائم على المشاريع",
188,"الطالبة تُظهر حساً فنياً راقياً في الأعمال الإبداعية",
189,"الطالب يحتاج إلى تحسين مهارات التفكير التجريدي",
190,"الطالبة تتميز بالقدرة على التعبير عن الأفكار بوضوح",
191,"الطالب يُظهر اهتماماً بالقضايا الإنسانية والأخلاقية",
192,"الطالبة تحتاج دعماً في تطوير مهارات التحليل الأدبي",
193,"الطالب يتميز بالمبادرة في اقتراح حلول إبداعية",
194,"الطالبة تواجه تحدياً في التعامل مع المعلومات المعقدة",
195,"الطالب يُظهر قدرة على التفكير النظمي والشمولي",
196,"الطالبة تحتاج إلى تطوير مهارات التعلم الذاتي المستقل",
197,"الطالب يتفاعل بحماس مع الأنشطة التعليمية التفاعلية",
198,"الطالبة تُظهر تميزاً في فهم العلاقات السببية",
199,"الطالب يحتاج إلى تحسين مهارات التواصل الرقمي",
200,"الطالبة تتميز بالقدرة على التفكير المستقبلي والتخطيط",
